Metode,TF,Order,Direction,SL,TP,Total Entry,WR,PF Net,Net Profit,EV/Trade,Avg Win/Loss,Max DD,Recovery Factor,Max Consecutive Loss,SQN,OOS PF,Monte Carlo Pass,MC 95% DD,Positive Year,Worst Year,Periode Backtest,History,Sample v11,Corr Max,Corr Gate,Python Script,MT5 Script
ND_MTF_LINREG_SLP_f21s55_GOLD_H1_SL0.025_TP2.5,H1,PENDING,BOTH,0.025,2.5,494,29.959514170040485,0.9793124429571034,-1523.200000000002,-3.0834008097166032,$487.20 / -$212.80,99.11415916559531,-0.13723511604439947,12,-0.21372408103717572,1.3882978723404256,FAIL,145.93743473913256,54.166666666666664,2006,2003 – 2026,23.315423226100844,494/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_MTF_LINREG_SLP_f21s55_GOLD_H1_SL0.025_TP2.5.py,NOT PRESENT
ND_ALL_OBV_CROSS_f8s21_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,582,35.738831615120276,1.011941618752764,950.3999999999987,1.6329896907216472,$387.20 / -$212.80,84.53329538986948,0.09998316781686527,12,0.13700903296178,1.4042170644001308,FAIL,121.35010747460065,50.0,2006,2003 – 2026,23.315423226100844,582/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_OBV_CROSS_f8s21_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
ND_MTF_ROC_ZERO_f13s34_GOLD_H1_SL0.025_TP3.0,H1,PENDING,BOTH,0.025,3.0,376,30.319148936170212,1.2006543075245362,11187.200000000004,29.753191489361715,$587.20 / -$212.80,24.785032599451995,2.6656500190621406,14,1.5689975535848415,1.222915242652085,FAIL,67.49261422847039,70.83333333333333,2009,2003 – 2026,23.315423226100844,376/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_MTF_ROC_ZERO_f13s34_GOLD_H1_SL0.025_TP3.0.py,NOT PRESENT
ND_ALL_DONCH_BO_f13s34_GOLD_H1_SL0.025_TP2.5,H1,PENDING,BOTH,0.025,2.5,496,29.43548387096774,0.9550375939849621,-3348.8000000000015,-6.751612903225809,$487.20 / -$212.80,105.05247376311864,-0.2987012987012983,13,-0.47132617529955306,1.357711138310894,FAIL,160.13258525232612,37.5,2006,2003 – 2026,23.315423226100844,496/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_DONCH_BO_f13s34_GOLD_H1_SL0.025_TP2.5.py,NOT PRESENT
ND_ALL_EMA_RIBBON_f8s21_GOLD_H1_SL0.02_TP3.0,H1,PENDING,BOTH,0.02,3.0,639,27.230046948356808,1.0117084826762246,1176.0,1.84037558685446,$584.00 / -$216.00,66.74225245653818,0.1664779161947905,11,0.1306371397858776,1.2080378250591017,FAIL,154.61430170892748,45.833333333333336,2007,2003 – 2026,23.315423226100844,639/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_EMA_RIBBON_f8s21_GOLD_H1_SL0.02_TP3.0.py,NOT PRESENT
ND_MTF_BB_SQZ_f21s55_GOLD_H1_SL0.02_TP3.0,H1,PENDING,BOTH,0.02,3.0,629,26.86804451510334,0.993317230273752,-664.0,-1.055643879173291,$584.00 / -$216.00,66.13756613756614,-0.09485714285714286,11,-0.07465882437193155,1.147615241140421,FAIL,161.92295833333333,50.0,2007,2003 – 2026,23.315423226100844,629/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_MTF_BB_SQZ_f21s55_GOLD_H1_SL0.02_TP3.0.py,NOT PRESENT
ND_MTF_LINREG_SLP_f21s55_GOLD_H1_SL0.02_TP3.0,H1,PENDING,BOTH,0.02,3.0,627,26.794258373205743,0.9895908980876301,-1032.0,-1.645933014354067,$584.00 / -$216.00,70.59186189889026,-0.11266375545851529,15,-0.1163221704531667,1.1453189300411524,FAIL,165.06338216560508,50.0,2016,2003 – 2026,23.315423226100844,627/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_MTF_LINREG_SLP_f21s55_GOLD_H1_SL0.02_TP3.0.py,NOT PRESENT
ND_VM_BB_SQZ_f8s21_GOLD_H1_SL0.025_TP2.5,H1,PENDING,BOTH,0.025,2.5,469,30.916844349680172,1.0246101364522415,1696.7999999999965,3.6179104477611865,$487.20 / -$212.80,68.71165644171815,0.22816265060240798,13,0.24219352636798352,1.4676113360323892,FAIL,113.16986080673885,45.833333333333336,2006,2003 – 2026,23.315423226100844,469/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_VM_BB_SQZ_f8s21_GOLD_H1_SL0.025_TP2.5.py,NOT PRESENT
ND_VM_BB_SQZ_f8s21_GOLD_H1_SL0.02_TP3.0,H1,PENDING,BOTH,0.02,3.0,606,27.557755775577558,1.0285159875137095,2704.0,4.462046204620462,$584.00 / -$216.00,43.68340943683409,0.5888501742160279,12,0.30729996915609137,1.2231040564373898,FAIL,141.60611574966097,50.0,2007,2003 – 2026,23.315423226100844,606/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_VM_BB_SQZ_f8s21_GOLD_H1_SL0.02_TP3.0.py,NOT PRESENT
ND_MTF_SUPERT_PROXY_f5s13_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,601,36.10648918469218,1.0282346491228065,2307.2,3.838935108153078,$387.20 / -$212.80,77.64655663062075,0.26424775517683585,17,0.32656959643270134,1.391419725785051,FAIL,115.6294003095474,50.0,2006,2003 – 2026,23.315423226100844,601/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_MTF_SUPERT_PROXY_f5s13_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
