rank,source_rank,config_hash,method,family,timeframe,entry_method,direction_mode,sl_usd,tp_usd,trades,current_net_profit_usd,current_ev_per_trade_usd,standard_lot_net_profit_usd_same_cost_model,standard_lot_ev_per_trade_usd_same_cost_model,standard_lot_profit_factor_same_cost_model,standard_lot_win_rate_pct,standard_lot_max_dd_pct_starting_equity_10000,standard_lot_sqn_same_cost_model,history_years,v11_sample_pass,v11_tier1_pass_same_cost_model,net_profit_scale_ratio_vs_qty1
1,47,13f689142dff69d33b2c6b33c3652aec484046d059d64636e4639f2d4a5bd295,DONCHIAN f3/s89 p1=66.0 p2=55.0 p3=1.0 off=3.0 exp=4,DONCHIAN,D1,LIMIT,BOTH,23.0,23.5,127,436.9294000000002,3.4403889763779545,43692.940000000024,344.03889763779546,1.37233128481679,67.71653543307086,34.70000125069698,1.7267246203918705,25.842573579739906,False,False,100.0
2,28,7c00212eb6bd65ad07e432d4a261d3f3240478d4d4698cf57e99c549684b61cb,CANDLE_ENGULFING f34/s144 p1=66.0 p2=58.0 p3=1.0 off=2.75 exp=8,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,23.5,23.5,148,382.7357900000003,2.586052635135137,38273.57900000003,258.6052635135137,1.2641504115793922,65.54054054054055,44.68204235724034,1.3824758652323004,25.842573579739906,False,False,100.0
3,48,860c7a7defb867ad594b594e41f4a5157b3dc4262a1b1bd69c978298130ac57c,DONCHIAN f3/s100 p1=55.0 p2=58.0 p3=1.0 off=1.0 exp=7,DONCHIAN,D1,LIMIT,BOTH,22.0,23.0,126,275.72409,2.1882864285714283,27572.409,218.82864285714285,1.2249578259285974,65.07936507936508,41.484508709379774,1.0999765389846419,25.842573579739906,False,False,100.0
4,42,16465254581a80024f02bb0737a8c7ec810d8b00ca26776d933a7765901c4dc9,CANDLE_ENGULFING f14/s144 p1=58.0 p2=62.0 p3=1.0 off=5.0 exp=5,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,20.5,22.5,136,156.7545000000004,1.1526066176470617,15675.450000000037,115.26066176470616,1.1168512094971792,61.76470588235294,41.207424113929534,0.6250547923989818,25.842573579739906,False,False,99.99999999999997
5,25,6147614cc3262406367966a5903b147780f61b77fb9440c55a2182d989ec7623,CANDLE_ENGULFING f10/s100 p1=66.0 p2=52.0 p3=1.0 off=2.0 exp=7,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,21.0,21.5,153,150.41093000000023,0.9830779738562107,15041.093000000026,98.30779738562109,1.1009848313409323,62.745098039215684,57.58778476276112,0.5736369914250634,25.842573579739906,False,False,100.00000000000001
6,32,b540fd8821539289e8b518e2c9b9d5a514e5172c9d94576ea9105474d99bf29d,CANDLE_ENGULFING f8/s144 p1=52.0 p2=62.0 p3=1.0 off=0.75 exp=3,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,25.0,25.0,144,139.2822550000001,0.9672378819444452,13928.225500000019,96.72378819444458,1.083074427792093,61.80555555555556,64.9355635334966,0.46468122970349707,25.842573579739906,False,False,100.00000000000006
7,33,77264587e45dcf59bed9883c5c0057106f46134b2be449f4708d36bd61017731,TREND_EMA f55/s144 p1=66.0 p2=52.0 p3=1.0 off=3.25 exp=7,TREND_EMA,D1,LIMIT,BOTH,24.5,25.0,144,130.90611000000055,0.9090702083333372,13090.611000000052,90.90702083333369,1.0766836312153214,61.111111111111114,66.37695021395004,0.40240256009051406,25.842573579739906,False,False,99.99999999999997
8,31,7966cd56fbe67fb796ff26d68d59b9e2810230f6557ac7376098bc59947db1dd,PRICE_STRUCTURE f55/s144 p1=66.0 p2=66.0 p3=1.0 off=2.5 exp=4,PRICE_STRUCTURE,D1,LIMIT,BOTH,25.0,25.0,145,112.27844000000056,0.774334068965521,11227.844000000057,77.43340689655211,1.0636983474848734,61.37931034482759,71.82406116939245,0.3376444525193494,25.842573579739906,False,False,100.00000000000001
9,6,f6887e3a2059f22e99adf5c78ddc93cccb42b485762a95c00c96ebde47b8cba8,CANDLE_ENGULFING f50/s100 p1=55.0 p2=66.0 p3=1.0 off=3.0 exp=4,CANDLE_ENGULFING,D1,LIMIT,BOTH,19.0,24.0,205,110.22751000000022,0.5376951707317084,11022.75100000003,53.769517073170874,1.051727426037648,56.58536585365854,74.24275444361723,0.35535076392587056,25.842573579739906,False,False,100.00000000000006
10,4,e7d524906472e0be91b1f08f8d17dca4272dadb7b319fca010f765cd5a9eee84,CANDLE_ENGULFING f50/s89 p1=52.0 p2=52.0 p3=1.0 off=0.5 exp=4,CANDLE_ENGULFING,D1,LIMIT,BOTH,22.0,25.0,207,109.52766000000014,0.5291191304347833,10952.766000000032,52.911913043478414,1.0465443678526596,57.971014492753625,78.39672070780254,0.3209772841920422,25.842573579739906,False,False,100.00000000000017
