rank,origin,config_hash,method,family,timeframe,entry_method,direction_mode,sl_pips,tp_pips,total_entry,standard_lot_win_rate_pct,standard_lot_profit_factor_same_cost_model,standard_lot_net_profit_usd_same_cost_model,standard_lot_ev_per_trade_usd_same_cost_model,avg_win_loss_ratio,standard_lot_max_dd_pct_starting_equity_10000,recovery_factor,max_consecutive_loss,standard_lot_sqn_same_cost_model,oos_profit_factor,monte_carlo_pass,mc_95pct_max_drawdown_pct,positive_years_pct,worst_year,worst_year_net_profit_usd,backtest_start_utc,backtest_end_utc,history_years,sample_v11,correlation_max,correlation_gate,tier_v1
1,DISCOVERY_PREVIOUS,2b75f3d437af4ca75cf3467448e2eb2c2149afc1c77ec8fc70caf2c7be322baa,SUPPORT_RESISTANCE f3/s21 p1=0.7 p2=55.0 p3=1.0 off=4.25 exp=6,SUPPORT_RESISTANCE,D1,LIMIT,LONG_ONLY,2000.0,2500.0,115,66.08695652173913,1.6551946226491985,63992.82799999996,556.4593739130431,0.8493761879384044,20.017619037911377,4.3447225800985025,5,2.6623482228314677,1.2719512592239743,True,123.75653711259835,70.37037037037037,2021,-6401.392,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,115/300 FAIL,0.0,PASS,ACTIVE
2,DISCOVERY_PREVIOUS,b23808c8543027d13fef502876c1d83ae1244d72e561f1e9e73c1b8895d25b9d,CHART_PATTERN f5/s26 p1=0.7 p2=55.0 p3=1.0 off=3.5 exp=12,CHART_PATTERN,D1,LIMIT,LONG_ONLY,1950.0,2450.0,100,66.0,1.587431360075324,48873.932,488.73932,0.8177676703418336,15.491260334047679,5.475604542358297,2,2.2959940703802784,1.1238602904304063,True,125.45428190677036,62.96296296296296,2013,-8107.84,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,100/300 FAIL,0.3642009190382178,PASS,LIBRARY
3,DISCOVERY_PREVIOUS,bac04b6b28283d3c1d980b65580431739df4515d8342379cff46dd806b8bb32e,VOLATILITY_REGIME f5/s26 p1=1.3 p2=0.8 p3=1.0 off=1.25 exp=9,VOLATILITY_REGIME,D1,LIMIT,LONG_ONLY,2350.0,2500.0,116,66.37931034482759,1.44429080735015,50869.03999999999,438.5262068965517,0.7315239154111148,23.288027419926717,4.298422085129798,3,1.7791524605295537,1.161435904203595,True,180.31551509786604,59.25925925925926,2026,-8359.648,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,116/300 FAIL,0.14625527139540154,PASS,LIBRARY
4,DISCOVERY_PREVIOUS,b30bed5c3fd92d94396a42b0b4b7820ab5dfb4680fc9f8e9ae7d71f50740d0e2,SUPPORT_RESISTANCE f3/s34 p1=1.0 p2=55.0 p3=1.0 off=1.5 exp=9,SUPPORT_RESISTANCE,D1,LIMIT,LONG_ONLY,2050.0,2500.0,126,63.492063492063494,1.4155628039543087,49139.22900000001,389.993880952381,0.8139486122737275,23.6776374975804,2.6783425301740675,4,1.9319873418021218,0.5384968852638777,True,166.5239120926231,62.96296296296296,2026,-9180.768,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,126/300 FAIL,0.39331704988228355,PASS,LIBRARY
5,DISCOVERY_PREVIOUS,8398c92b8fb894fd605c077b07863777b0e43160ea761f0dee51a40984efa5ef,DONCHIAN f3/s89 p1=58.0 p2=52.0 p3=1.0 off=4.75 exp=3,DONCHIAN,D1,LIMIT,BOTH,2400.0,2400.0,115,68.69565217391305,1.4329801731951763,45356.686500000054,394.40596956521784,0.6530036232281816,57.2634,3.8190859205545187,4,1.8680517594362454,1.1431100817833109,True,164.9438270921504,62.96296296296296,2026,-10631.28,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,115/300 FAIL,0.03964285344147354,PASS,ACTIVE
6,DISCOVERY_PREVIOUS,96132f15801c09aa42d8a509e82d52c11f61c5cbc10f4f8d1c45a64c49f8ef50,BOLLINGER_REVERSION_V2 f3/s13 p1=1.5 p2=30.0 p3=1.0 off=1.5 exp=12,BOLLINGER_REVERSION_V2,D1,LIMIT,LONG_ONLY,2500.0,2500.0,118,66.10169491525424,1.4181985517664057,49863.635000000024,422.5731779661019,0.7272813085981567,28.32989142203173,2.8589802704606884,4,1.855401081808843,1.5584701331921214,True,174.92590755149567,62.96296296296296,2018,-9490.4,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,118/300 FAIL,0.2588211858205983,PASS,ACTIVE
7,DISCOVERY_PREVIOUS,6a1be0199547f346397eb2b8645e339e4ff4a5a58628a10ae4e7c4c9c1403dc4,VOLUME f20/s21 p1=1.4 p2=55.0 p3=1.0 off=1.5 exp=1,VOLUME,D1,LIMIT,LONG_ONLY,2450.0,2450.0,104,68.26923076923077,1.4180044997844758,41255.67600000002,396.6891923076925,0.6590725139843339,27.192505783869336,2.475204324753969,3,1.7257436959989703,1.0819436294459484,True,170.26072380528427,62.96296296296296,2026,-9010.496,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,104/300 FAIL,0.0926830108299337,PASS,ACTIVE
8,DISCOVERY_PREVIOUS,cbe1769e07ff552dc912b4ab7f006f5f274996a71b98b92dea30b73a492b6bbd,BOLLINGER_REVERSION_V2 f5/s21 p1=1.5 p2=35.0 p3=1.0 off=0.5 exp=6,BOLLINGER_REVERSION_V2,D1,LIMIT,LONG_ONLY,1800.0,1800.0,101,67.32673267326733,1.390452590928562,29851.760000000024,295.56198019802,0.6747784632447434,53.879793104402886,1.0198037282236065,4,1.4617849774458185,1.1878425801164887,False,158.06213650319864,62.96296296296296,2012,-8106.848,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,101/300 FAIL,0.1494894903355258,PASS,ACTIVE
9,DISCOVERY_PREVIOUS,7e1bc2d544d46004cd8254e9021520720eb1b51dac0226bd971684e483c5b110,CHART_PATTERN f5/s34 p1=1.0 p2=55.0 p3=1.0 off=2.5 exp=6,CHART_PATTERN,D1,LIMIT,LONG_ONLY,2100.0,2350.0,125,64.8,1.3821237798943005,43393.443,347.147544,0.7507832878438175,25.71261479826218,3.46996531109661,5,1.7745765756460008,1.2502728951508104,True,170.32606599611927,70.37037037037037,2018,-10581.888,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,125/300 FAIL,0.4731635635836887,PASS,LIBRARY
10,DISCOVERY_PREVIOUS,acd4c2c81c1b1e9a6ea2edba3c9bc0893ecc756035efb01df0a7caf5381af8d9,BOLLINGER_REVERSION_V2 f3/s14 p1=1.5 p2=30.0 p3=1.0 off=2.5 exp=11,BOLLINGER_REVERSION_V2,D1,LIMIT,LONG_ONLY,1600.0,2500.0,103,56.310679611650485,1.37304755490004,34131.75400000003,331.37625242718474,1.0652955167327898,34.556921899132846,1.9833821686312372,4,1.5988411131346085,1.2541648905471867,False,160.08242492319602,66.66666666666667,2008,-6770.438,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,103/300 FAIL,0.4734051031525531,PASS,LIBRARY
