recent_rank,selected_origin,selected_tier,full_history_rank,config_hash,method,timeframe,entry_method,direction_mode,sl_pips,tp_pips,period_start_utc,period_end_utc,requested_through_today_utc,coverage_gap_days,total_entry,trades_per_year,win_rate_pct,profit_factor_net,net_profit_usd,ev_per_trade_usd,avg_win_loss_ratio,max_dd_pct,recovery_factor,max_consecutive_loss,sqn,sharpe,sortino,calmar,oos_profit_factor,oos_net_profit_usd,oos_trades,monte_carlo_pass,mc_95pct_max_drawdown_pct,positive_years_pct,worst_year,worst_year_net_profit_usd,profitable_months_pct,full_history_corr_max,full_history_corr_gate,trading_score_0_9,trading_gate,python_script,mt5_script
1,MULTI,LIBRARY,13,fe679a1d8c652f7fdeec58a605252c3eafdaa675547cdaebf587e0208285b650,CHART_PATTERN f5/s34 p1=1.0 p2=55.0 p3=1.0 off=2.25 exp=8,D1,LIMIT,LONG_ONLY,2300.0,1900.0,2019-01-01 00:00:00+00:00,2026-08-27 00:00:00+00:00,2026-09-03 00:00:00+00:00,7,46,6.011270125223613,76.08695652173913,1.4569724043930325,15368.640000000001,334.1008695652174,0.4579056128092388,37.738128259903995,1.4739397436172859,2,1.1420406981213698,0.4452075939116713,0.20586282370409728,0.5321860592016898,1.0046363484581893,34.65599999999904,6,False,137.9330365176691,62.5,2022,-3423.4880000000007,23.91304347826087,0.2986137466012509,PASS,8,PASS,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_auto_chart_pattern_fe679a1d8c65.py,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_auto_chart_pattern_fe679a1d8c65.mq5
2,MULTI,LIBRARY,23,fcca369aca257288253397d495567bd5ccb62e71669869f674876f641b35fdc0,VOLATILITY_REGIME f5/s34 p1=1.3 p2=0.8 p3=1.0 off=1.75 exp=2,D1,LIMIT,LONG_ONLY,2300.0,2400.0,2019-01-01 00:00:00+00:00,2026-08-27 00:00:00+00:00,2026-09-03 00:00:00+00:00,7,52,6.7953488372093025,67.3076923076923,1.304047967013676,16210.816000000039,311.7464615384623,0.6333947268352141,38.205949137783804,1.627403738041548,3,0.7647595417213745,0.30728917759705415,0.1791917031401439,0.5544754161923137,1.1803422457065063,3273.760000000035,13,False,220.19129252719583,75.0,2020,-4883.12,25.0,0.44761162826395745,PASS,7,PASS,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_auto_volatility_regime_fcca369aca25.py,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_auto_volatility_regime_fcca369aca25.mq5
3,MULTI,LIBRARY,12,f23d12e95935bbccb64b50925058a0e251df137d9a30dd4c60e3fd2f4ef4e743,CHART_PATTERN f5/s10 p1=0.5 p2=55.0 p3=1.0 off=1.25 exp=3,D1,LIMIT,LONG_ONLY,2450.0,2450.0,2019-01-01 00:00:00+00:00,2026-08-27 00:00:00+00:00,2026-09-03 00:00:00+00:00,7,44,5.749910554561717,72.72727272727273,1.4617740024512587,18096.767999999996,411.29018181818174,0.548165250919222,36.72794162025518,1.1991234366203753,3,1.188262165024379,0.3839851093510274,0.16576062527958974,0.6438917219689101,0.41714939500052,-6724.463999999999,7,False,155.10728958054696,50.0,2026,-5930.368,27.17391304347826,0.2552743802754565,PASS,6,WATCH,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_auto_chart_pattern_f23d12e95935.py,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_auto_chart_pattern_f23d12e95935.mq5
4,MULTI,ACTIVE,4,8398c92b8fb894fd605c077b07863777b0e43160ea761f0dee51a40984efa5ef,DONCHIAN f3/s89 p1=58.0 p2=52.0 p3=1.0 off=4.75 exp=3,D1,LIMIT,BOTH,2400.0,2400.0,2019-01-01 00:00:00+00:00,2026-08-27 00:00:00+00:00,2026-09-03 00:00:00+00:00,7,39,5.096511627906977,74.35897435897436,1.4034118915625315,13474.480000000016,345.4994871794876,0.4839351350215626,31.171508859500573,1.267437222987261,2,0.9714259438589259,0.2928296102186222,0.11818715053492584,0.5648883285640116,0.4954565862165213,-9313.935999999983,13,False,154.41714486206047,75.0,2026,-10631.28,19.565217391304348,0.018317393883872494,PASS,6,WATCH,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_rank01_donchian_f3_s89_off4_75_exp3.py,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_rank01_donchian_f3_s89_off4_75_exp3.mq5
5,MULTI,LIBRARY,19,1d77941a57cf39eb393cb22ecf54207970e49fc4075ad95093e5a7188dbfd587,VOLATILITY_REGIME f5/s13 p1=1.2 p2=0.8 p3=1.0 off=2.25 exp=10,D1,LIMIT,LONG_ONLY,2350.0,2400.0,2019-01-01 00:00:00+00:00,2026-08-27 00:00:00+00:00,2026-09-03 00:00:00+00:00,7,55,7.187388193202147,67.27272727272727,1.308579623992718,17494.944000000065,318.0898909090921,0.636606303564025,49.672371068018165,1.1256547413154165,5,0.8055036529416321,0.3153705691378646,0.20167757805074693,0.4602630148591745,1.559882830489782,8364.11200000007,13,False,218.1590957232839,50.0,2023,-6542.592000000001,22.82608695652174,0.3842148419979138,PASS,6,WATCH,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_volatility_regime_f5_s13_off2_25_exp10.py,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_volatility_regime_f5_s13_off2_25_exp10.mq5
6,MULTI,LIBRARY,14,22929b50777d39e2cd417bc7c46a4d9b9ac48c58712a24754172ca0697a83931,CHART_PATTERN f3/s26 p1=0.7 p2=55.0 p3=1.0 off=4.0 exp=3,D1,LIMIT,LONG_ONLY,1950.0,2500.0,2019-01-01 00:00:00+00:00,2026-08-27 00:00:00+00:00,2026-09-03 00:00:00+00:00,7,47,6.141949910554562,63.829787234042556,1.2805953082994865,12972.607999999991,276.0129361702126,0.7256706747030424,58.86630194023167,1.041935036162414,3,0.8153010994881164,0.2887230388601016,0.14558695733082486,0.2879843939141572,0.48629251245083455,-6749.952000000018,7,False,189.63267708160032,75.0,2021,-6771.904,23.91304347826087,0.4925696498366349,PASS,6,WATCH,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_chart_pattern_f3_s26_off4_exp3.py,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_chart_pattern_f3_s26_off4_exp3.mq5
7,MULTI,LIBRARY,5,4ff55b7bfa26f3cd3778faa661704fa1b1ed2e7767a249e5eab593352ca1b514,CHART_PATTERN f3/s34 p1=0.7 p2=55.0 p3=1.0 off=1.25 exp=8,D1,LIMIT,LONG_ONLY,2350.0,2400.0,2019-01-01 00:00:00+00:00,2026-08-27 00:00:00+00:00,2026-09-03 00:00:00+00:00,7,41,5.357871198568873,68.29268292682927,1.2666664329431703,10953.103999999988,267.1488780487802,0.5880951295807576,46.560467062967675,1.1208386204186522,3,0.7115779453115073,0.2703641360255402,0.12706231491027517,0.30741729405158513,0.40127548251231937,-8824.912000000018,7,False,188.5832193051735,75.0,2026,-8824.912000000018,21.73913043478261,0.38061567742182933,PASS,6,WATCH,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_chart_pattern_f3_s34_off1_25_exp8.py,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_chart_pattern_f3_s34_off1_25_exp8.mq5
8,MULTI,LIBRARY,36,b27c57af4988aa89b12d9421250f8244c1460fb9f1570590c8501579a869a45b,CANDLE_ENGULFING f55/s100 p1=55.0 p2=58.0 p3=1.0 off=3.25 exp=8,D1,LIMIT,BOTH,2300.0,2350.0,2019-01-01 00:00:00+00:00,2026-08-27 00:00:00+00:00,2026-09-03 00:00:00+00:00,7,69,9.016905187835421,66.66666666666667,1.2070952616918134,14570.656000000006,211.16892753623196,0.6035476308459068,66.66399604429006,0.8167642479425421,4,0.6971766364262996,0.2599940167700516,0.1813485229744989,0.28562497167827405,1.1632107992651182,2919.520000000009,15,False,238.5288621510871,62.5,2021,-10105.856000000002,33.69565217391305,0.436802416908634,PASS,6,WATCH,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_rank07_candle_engulfing_f55_s100_off3_25_exp8.py,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_rank07_candle_engulfing_f55_s100_off3_25_exp8.mq5
9,MULTI,LIBRARY,8,7a11760c49f5b9f030703bad55649258355b18dea4bc1971c43ae33553a13b64,CANDLE_ENGULFING f34/s144 p1=66.0 p2=58.0 p3=1.0 off=1.75 exp=10,D1,LIMIT,LONG_ONLY,2200.0,2400.0,2019-01-01 00:00:00+00:00,2026-08-27 00:00:00+00:00,2026-09-03 00:00:00+00:00,7,54,7.056708407871199,66.66666666666667,1.1933974049436284,10304.28800000003,190.8201481481487,0.5966987024718142,63.04010282690968,0.8482559870183607,4,0.6110159776769337,0.2129033950528717,0.1284852063461471,0.2136040525704008,1.0746073739454565,1027.4080000000254,13,False,214.4392821296475,62.5,2021,-8367.92,27.17391304347826,0.4877186087649778,PASS,6,WATCH,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_candle_engulfing_f34_s144_off1_75_exp10.py,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_candle_engulfing_f34_s144_off1_75_exp10.mq5
10,MULTI,LIBRARY,22,aa120bcd581bc34cb29382a46a1a39b51ccf83476f639c4cf178926701577dd3,VOLATILITY_REGIME f5/s7 p1=1.1 p2=0.8 p3=1.0 off=0.5 exp=2,D1,LIMIT,LONG_ONLY,2200.0,2500.0,2019-01-01 00:00:00+00:00,2026-08-27 00:00:00+00:00,2026-09-03 00:00:00+00:00,7,49,6.403309481216458,59.183673469387756,1.1010756160599444,5929.280000000037,121.00571428571504,0.7593624938344444,83.85943668960753,0.29793460521132503,5,0.2779987714566576,0.09428880938072631,0.06544490955306716,0.09239711929320797,2.44099595828552,10165.408000000038,6,False,288.126828505818,62.5,2020,-7907.040000000001,20.652173913043477,0.35405846711341166,PASS,6,WATCH,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_volatility_regime_f5_s7_off0_5_exp2.py,https://github.com/copytolive/rwa/blob/main/backtest/gold24/qualified_scripts/multi_volatility_regime_f5_s7_off0_5_exp2.mq5
