source_rank,config_hash,method,family,timeframe,entry_method,direction_mode,sl,tp,trades,win_rate_pct,profit_factor_net,net_profit,net_expectancy,max_dd_pct,sqn,history_years,sample_pass_v11,baseline_qualified_v11,target_candidate_v11,correlation_max,correlation_gate
1,13f689142dff69d33b2c6b33c3652aec484046d059d64636e4639f2d4a5bd295,DONCHIAN f3/s89 p1=66.0 p2=55.0 p3=1.0 off=3.0 exp=4,DONCHIAN,D1,LIMIT,BOTH,23.00,23.50,127,67.71653543,1.37233128,436.92940000,3.44038898,1.92754561,1.72672462,25.84257358,false,false,false,,N/A — belum pre-portfolio
2,7c00212eb6bd65ad07e432d4a261d3f3240478d4d4698cf57e99c549684b61cb,CANDLE_ENGULFING f34/s144 p1=66.0 p2=58.0 p3=1.0 off=2.75 exp=8,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,23.50,23.50,148,65.54054054,1.26415041,382.73579000,2.58605264,1.77627664,1.38247587,25.84257358,false,false,false,,N/A — belum pre-portfolio
3,860c7a7defb867ad594b594e41f4a5157b3dc4262a1b1bd69c978298130ac57c,DONCHIAN f3/s100 p1=55.0 p2=58.0 p3=1.0 off=1.0 exp=7,DONCHIAN,D1,LIMIT,BOTH,22.00,23.00,126,65.07936508,1.22495783,275.72409000,2.18828643,2.52672093,1.09997654,25.84257358,false,false,false,,N/A — belum pre-portfolio
4,06ed9e07dd4e91f34932d14336318517dea3bdd09c1ac45224e47f7636294d46,BOLLINGER_REVERSION f26/s34 p1=1.8 p2=30.0 p3=1.0 off=2.75 exp=6,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,16.50,21.00,33,72.72727273,2.28468309,242.34159000,7.34368455,0.71575632,2.37557983,25.84257358,false,false,false,,N/A — belum pre-portfolio
5,04c352f0669268ecd42919a5a2ef213b6a471cc3e88f84f04dc35621c887b2c4,ZSCORE_REVERSION f21/s100 p1=0.7 p2=25.0 p3=1.0 off=2.75 exp=8,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,25.00,25.00,36,63.88888889,1.44994513,174.15159000,4.83754417,0.58011556,1.01573324,25.84257358,false,false,false,,N/A — belum pre-portfolio
6,0b4ae98b557d93bb43b6defd66f0298724357ca9f7ed2e15ef30cf7e554c4eca,ZSCORE_REVERSION f26/s50 p1=1.3 p2=25.0 p3=1.0 off=0.75 exp=3,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,21.50,24.50,21,71.42857143,2.14097924,173.48854000,8.26135905,0.55762622,1.72884569,25.84257358,false,false,false,,N/A — belum pre-portfolio
7,bf567fe1b5945f434bd1acb5fa7860a5060ec7390353bd9b043f880eab6dbfd1,ZSCORE_REVERSION f26/s34 p1=0.7 p2=30.0 p3=1.0 off=0.75 exp=6,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,17.00,24.00,61,57.37704918,1.30956426,167.91519000,2.75270803,1.28385666,1.04527917,25.84257358,false,false,false,,N/A — belum pre-portfolio
8,16465254581a80024f02bb0737a8c7ec810d8b00ca26776d933a7765901c4dc9,CANDLE_ENGULFING f14/s144 p1=58.0 p2=62.0 p3=1.0 off=5.0 exp=5,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,20.50,22.50,136,61.76470588,1.11685121,156.75450000,1.15260662,1.70107760,0.62505479,25.84257358,false,false,false,,N/A — belum pre-portfolio
9,6147614cc3262406367966a5903b147780f61b77fb9440c55a2182d989ec7623,CANDLE_ENGULFING f10/s100 p1=66.0 p2=52.0 p3=1.0 off=2.0 exp=7,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,21.00,21.50,153,62.74509804,1.10098483,150.41093000,0.98307797,2.90916948,0.57363699,25.84257358,false,false,false,,N/A — belum pre-portfolio
10,b57e640f9798116832761cac8c59539931ec8366ca4d8be0537131ef77fa5e95,ZSCORE_REVERSION f26/s34 p1=2.1 p2=30.0 p3=1.0 off=2.75 exp=5,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,16.50,17.50,22,77.27272727,2.44002011,150.30400000,6.83200000,0.35576156,2.02266404,25.84257358,false,false,false,,N/A — belum pre-portfolio
11,b7b3bb12555a8ff5b3982c6cbff0ac9b273f8829c56386bf602f8778520c4f34,PRICE_STRUCTURE f55/s100 p1=58.0 p2=52.0 p3=1.0 off=4.0 exp=7,PRICE_STRUCTURE,D1,LIMIT,SHORT_ONLY,20.50,24.00,32,65.62500000,1.51042422,143.35402000,4.47981312,0.58688834,1.14031658,25.84257358,false,false,false,,N/A — belum pre-portfolio
12,b540fd8821539289e8b518e2c9b9d5a514e5172c9d94576ea9105474d99bf29d,CANDLE_ENGULFING f8/s144 p1=52.0 p2=62.0 p3=1.0 off=0.75 exp=3,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,25.00,25.00,144,61.80555556,1.08307443,139.28225500,0.96723788,4.17271249,0.46468123,25.84257358,false,false,false,,N/A — belum pre-portfolio
13,77264587e45dcf59bed9883c5c0057106f46134b2be449f4708d36bd61017731,TREND_EMA f55/s144 p1=66.0 p2=52.0 p3=1.0 off=3.25 exp=7,TREND_EMA,D1,LIMIT,BOTH,24.50,25.00,144,61.11111111,1.07668363,130.90611000,0.90907021,3.13539147,0.40240256,25.84257358,false,false,false,,N/A — belum pre-portfolio
